  ,filename,title,author,creator,date ,description,subject,location,latitude,longitude,geo_reference,source,identifier,type,format,language,rights,rightsstatement,
blackworld016,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=false,An Interview with Thomas Dorsey,"Thomas Dorsey, Alfred Duckett",Johnson Publishing,1974.07,"An interview with legendary gospel singer Thomas Dorsey, about his life and music","Gospel, Black Musicians","Chicago, Illinois",41.88235766,-87.61530771,,Google Books,1974.07.4,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld017,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA20#v=onepage&q&f=false,Father of Gospel Music,Horace Boyer,Johnson Publishing,1974.07,"A biography of the life, music and career of Thomas Dorsey","Gospel, Black Musicians","Chicago, Illinois",41.88235766,-87.61530771,,Google Books,1974.07.20,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld018,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA29#v=onepage&q&f=false,"A Selected, Annotated Discography: Dorsey Songs on Record",Romeo Eldridge Phillips,Johnson Publishing,1974.07,An article listing some of the many artists that have played Dorsey's music,"Gospel, Black Musicians","Chicago, Illinois",41.88235766,-87.61530771,,Google Books,1974.07.29,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld019,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA33#v=onepage&q&f=false,Borinken Blues,Yusef Komunyakaa,Johnson Publishing,1974.07,"A poem about poet Victor Hernandez Cruz and his home of Aguas Buenas, Puerto Rico","Poetry, Caribbean Culture","Aguas Buenas, Puerto Rico",18.25693857,-66.10638862,,Google Books,1974.07.33,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld020,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA34#v=onepage&q&f=false,The Spiritual as Mature Chord Composition,Wendell Phillips Whalum,Johnson Publishing,1974.07,A brief history of the development of Gospel music,"Gospel, Black Musicians","Atlanta, Georgia",33.74741254,-84.41557092,,Google Books,1974.07.34,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld021,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA40#v=onepage&q&f=false,Special Reports: The Performing Arts in Jamaica,Rex Nettleford,Johnson Publishing,1974.07,"This article serves as partly a review of a Jamaican dance company visiting NYC, but also a reflection on how Black Caribbean cultures are viewed in the United States. It is also an informational piece on Jamaican culture.","Jamaican culture, Dance, Caribbean culture","Kingston, Jamaica",18.01661293,-76.79722887,,Google Books,1974.07.40,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld022,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA47#v=onepage&q&f=false,Theater,Ed Smith,Johnson Publishing,1974.07,"This article reviews the Jamaican art fesitival in 1973, and discusses Jamaican theater practices. It also  announces the establishment of new Black magazines related to theatre, literature and other topics. ","Jamaican culture, Black Theatre","Kingston, Jamaica",18.01661293,-76.79722887,,Google Books,1974.07.47,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld023,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA49#v=onepage&q&f=false,Perspectives: Duke Ellington: Communicator,Carole A. Parks,Johnson Publishing,1974.07,A short article memoralizing American composer Duke Ellington,"Black Musicians, Jazz","New York City, New York",40.8185176,-73.93766601,,Google Books,1974.07.49,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld024,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=false,Books Noted: The African Origin of Civilization: Myth or Reality ,John Henrik Clarke,Johnson Publishing,1974.07,"A book review of Chiekh Anta Diop's book the African Origin of Civilization, which majority challenged western assumptions on ancient history and Black African's involvement in the development of civilizations. ","Ancient Egypt, Ancient Ethiopia","Cairo, Egypt",29.97981069,31.13442524,,Google Books,1974.07.51,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld025,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA53#v=onepage&q&f=false,The Poet,Ronald Fair,Johnson Publishing,1974.07,A short story about a troubled man the narrator calls 'the poet.',Short Story,Switzerland,46.95557141,8.154358528,,Google Books,1974.07.53,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld026,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA60#v=onepage&q&f=false,Final Curtain for Anita Bush,Francisca Thompson,Johnson Publishing,1974.07,"A obituary for Anita Bush, who owned an operated an all Black theatre company in Harlem.","Obituary, Theatre","New York City, New York",40.82215321,-73.94671643,,Google Books,1974.07.60,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld027,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA64#v=onepage&q&f=false,"My House//poems by Nikki Giovanni, Like a Ripple on a Pond// record by Nikki Giovanni",Kalamu Ya Salaam,Johnson Publishing,1974.07,A book review and analysis of Nikki Giovanni's poetry collection 'My House' and record 'Like a Ripple on a Pond.',"Poetry, Black Musicians","Newark, New Jersey",40.7416495,-74.17429639,,Google Books,1974.07.64,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld028,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA71#v=onepage&q&f=false,The Black Book,Woodie King Jr.,Johnson Publishing,1974.07,"A book review of the historical anthology book, The Black Book. ","Black History, Black Authors, ","New York City, New York",40.71342157,-73.98985449,,Google Books,1974.07.71,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld029,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA72#v=onepage&q&f=false,Antigua Black,,johnson Publishing,1974.07,"A book review of Antigua Black, a book about the Black people of Antigua","Caribbean Culture, Book Review",Antigua,17.07646356,-61.81705914,,Google Books,1974.07.72,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld030,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA77#v=onepage&q&f=false,Music Festival,,johnson Publishing,1974.07,"An announcement for the Second John Henry Memorial Authentic Blues and Gospel Jubilee in Clifftop, West Virginia","Gospel Music, Black Musicians","Clifftop, West Virginia",38.00414284,-80.94355595,,Google Books,1974.07.77,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld031,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA78#v=onepage&q&f=false,The Novels of Hal Bennett Part II,Ronald Walcott,johnson Publishing,1974.07,"In this article, Walcott analyzes the works of Hal Bennett. This article is a continuation of Walcott's work in the June 1974 issue. This article covers Bennett's novels Lord of Dark Places, A Wilderness of Vines and The Black Vine. ","Black Novelists, Novels","New York City, New York",40.66785978,40.66785978,,Google Books,1974.07.78,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld032,https://books.google.com/books?id=cToDAAAAMBAJ&lpg=PA1&pg=PA97#v=onepage&q&f=false,Hands,Ashanti,johnson Publishing,1974.07,A poem about nature. ,Poetry,,,,,Google Books,1974.07.97,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
