  ,filename,title,author,creator,date ,description,subject,location,latitude,longitude,geo_reference,source,identifier,type,format,language,rights,rightsstatement,
blackworld073,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA12#v=onepage&q&f=true,"On ""The Cultural Unity of Africa""",John Henrik Clarke,Johnson Publishing,1975.02,This article focuses on the relationship between men and women in African civilization/general societies using the works of Cheikh Anta Diop.,"Women's History, Black Historians, BC","Ghana, West Africa",7.972335215,-1.189863543,,Google Books,1975.02.12,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld074,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA28#v=onepage&q&f=true,Slavery In the Colonial Americas,Rhett S. Jones,Johnson Publishing,1975.02,This article discusses the Afro-American side of colonial slavery. Many historians in the past have focused on the white side of slavery and not the black making most of the history of slavery biased.,"Slavery, Black History, Opinionist",Liberia,6.305813814,-9.337259606,,Google Books,1975.02.28,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld075,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA41#v=onepage&q&f=true,He,Julia Fields,Johnson Publishing,1975.02,"This poem analyzes with the identity of the ""name"". How your name can bring so much light and meaning into who you are but taken away you are just another speck on the planet. Also depicts the idea that black people are now using white names instead of ancestrial names.","Poetry, Black History, Oppression, Identity","Bessemer, Alabama",33.40223496,-86.95064404,,Google Books,1975.02.41,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld076,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA45#v=onepage&q&f=true,Art,Julia Fields,Johnson Publishing,1975.02,"This poem depicts the struggles that african american women encounter when they are looked at by the eyes of other black people. melanin was not popular in this time, lighter skin women were drawn so beautifully but darker skin women were made in an ugly image.","Poetry, Art, Colorism","Bessemer, Alabama",33.40223496,-86.95064404,,Google Books,1975.02.46,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld077,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA47#v=onepage&q&f=true,I Loves A Wig,Julia Fields,Johnson Publishing,1975.02,Dealing with a society that treasure their pride it is hard to get into a mindset of doing better than what is presented to you. This poem references the struggles of wanting to be something with your life. The wig simbolizes a change for the better and a step in the direction of being acknowledged.,"Poetry, Black Stereotypes, Black Hair, Individualism","Bessemer, Alabama",33.40223496,-86.95064404,,Google Books,1975.02.47,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld078,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=true,Convergence,Brenda Torres,Johnson Publishing,1975.02,A short story describing the mental conversation you have when you know one of your loved ones have been hanged. The process of going to find the body and perform the traditional rituals to lay that body to rest. The grief you feel knowing that person is gone forever.,"Black History, Storytelling, Grief, Lynching",Puerto Rico,18.18558601,-66.60198747,,Google Books,1975.02.54,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld079,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA60#v=onepage&q&f=true,Art in Haiti,Pierre Monosiet,Johnson Publishing,1975.02,An article going through the accent history of Hiatians and how their culture was not always wanted or appreciated. Talked about how slavery was a big influence on the haitians that do not want to claim their heritage. Also speaks about the influence of European culture on the slaves.,"Haitian Culture, Black History, Slavery, Manipulation",Haiti,18.92952968,-72.67776229,,Google Books,1975.02.60,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld080,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA68#v=onepage&q&f=true,"""Perspective on Soul Train""",Warren Foulkes,Johnson Publishing,1975.02,This article analysis the characteristics of the hit show Soul Train. Talks about how the show was very ritualistic and closed in. The members were all moving and acting as a group in its secretive entirety. Their moves and rhythmatic ways became a stamp in the 70's and 80's for black dance.,"Black Dance, Black Culture, Televison Shows","Chicago, Illinois",41.88644722,-87.62215584,,Google Books,1975.02.68,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld081,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA72#v=onepage&q&f=true,Black Magazines in America,Bob Chaney,Johnson Publishing,1975.02,"Opinion is a analytic piece depicting the ideas and actions of W.E.B Du Bois and his criticism against the NAACP. Also spoke about the controversal definition of what ""Black Power"" conveys to the community.","W.E.B Du Bois, Black History, NAACP, Liberation","Marion, Ohio",40.5884989,-83.12752706,,Google Books,1975.02.72,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld082,https://books.google.com/books?id=gLIDAAAAMBAJ&lpg=PA1&pg=PA80#v=onepage&q&f=true,Statement on the Black Arts,Johari Amini,Johnson Publishing,1975.02,This article references black art with identity. You can not know who you truly are unless you determine your identity because then the focus of your life is off balance.,"Black Art, Identity",Philadelphia,39.95344738,-75.1455084,,Google Books,1975.02.80,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld083,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=true,Pan African Congress,James Garrett,Johnson Publishing,1975.03,"Going back through history, African history is analyzed, finding connections the term Black Power and African Culture.","African History, Black Power","Tanzania, Dubai",25.2192229,55.17944972,,Google Books,1975.03.4,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld084,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA22#v=onepage&q&f=true,Liberation Movement,Amiri Baraka,Johnson Publishing,1975.03,the black liberation movement has changed drastically over the years and society has seen diffeent outcomes from the aftermath of the movement. some black people are still dealing with poverty and low income jobs and it is seeming like only a faction of the community are reaping the benefits of the movement.,"Black Liberation Movement, Poverty, Sixties, Rebellion","Newark, New Jersey",40.73463618,-74.17622245,,Google Books,1975.03.22,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld085,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA28#v=onepage&q&f=true,"Black Publisher, Black Writer: An Impasse",John A. Williams,Johnson Publishing,1975.03,Black publishers have seen an all time low as many of them are choosing to stop writing. Others are struggling to get their work published and facing backlash for the work they already have. It makes it worse when most black people do not understand the publishing process so they are being taken advantage of. ,"Black Writers, Publishing",New York,40.71471709,-74.00582979,,Google Books,1975.03.28,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld086,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA32#v=onepage&q&f=true,"Black Publisher, Black Writer: An Answer",Dudley Randall,Johnson Publishing,1975.03,"Both black and white publishers are at bay with their writers. In the previous article the writers were feeling neglected because of the lack of publications but in turn the problem isn't their work, it's the funding these companies lack in order to publish everyone's work. Everyone has limits, even the publishers.","Publications, Money Problems, Black and White Writers","Washington, DC",38.91169876,-77.03393875,,Google Books,1975.03.32,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld087,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA38#v=onepage&q&f=true,Librarians,Ann Allen Shockley,Johnson Publishing,1975.03,"Librarians are a key part of society, providing educational sources to the children of the community and giving these black writers a platform for their work to be presented. Especially in the 60's, most libraries were purchasing books that were for black by blacks. ","LIbraries, Books, Black Writers, Publishing","Chicago, Illinois",41.8772452,-87.64412849,,Google Books,1975.03.38,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld088,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA45#v=onepage&q&f=true,Seasons,Sterling Plumpp,Johnson Publishing,1975.03,A poem that conveys the struggles of black people as a nation. How we have to be strong as a people but are also weak minded with the jive of the outside commotion. We desire something we can not reach and even with never ending promises from leaders we see nothing in return.,"Poetry, Pain","Clinton, Mississppi",32.34059495,-90.32308107,,Google Books,1975.03.45,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld089,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=true,Poems of Exile and Return,June Jordan,Johnson Publishing,1975.03,An article reflecting on the work of June Jordan. How her unique style of writing and performing caught her audience well. Her poems had a significant effect on her community helped people to understand her better.,Poetry,Mississippi,33.51669468,-89.99048549,,Google Books,1975.03.51,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld090,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=true,The Third Stop In Caraway Park,Mari Evans,Johnson Publishing,1975.03,A story about a young black male named calvin who undergoes these psychological changes due to a drug given to him by his white friends. Makes him believe he is in two different dimensions when he is really under the spell of the drug.,"Short Stories, Drugs, Psychological Effects","Toledo, Ohio",41.65062555,-83.53409082,,Google Books,1975.03.54,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld091,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA64#v=onepage&q&f=true,Preparing The Professional Book Proposal,Louis C. Young,Johnson Publishing,1975.03,A article describing the key steps to present a manuscript to a publishers office. Going over the dos and donts of writng and explaining the layout of a intelligent and well written novel.,"Writing, Publishing, Preparations","Chicago, Illinois",41.88849194,-87.64550179,,Google Books,1975.03.64,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld092,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA71#v=onepage&q&f=true,My Visit To Ohio Penitentiary,Garfield A. Jackson,Johnson Publishing,1975.03,"A poem depicting the experiences of being a black person. It isn't always dangerous and harmful, sometimes it can be sweet and wholesome to watch and be apart of. You realize that most people just want you to be yourself and live your truth whether it puts you in harms way or not.","Poetry, Experiences, Identity, Truth",Ohio,40.3415116,-82.78596294,,Google Books,1975.03.71,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld093,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA72#v=onepage&q&f=true,Book Publishers,Carole A. Parks,Johnson Publishing,1975.03,A collection of book covers by black writers.,Art,"Chicago, Illinois",41.88849194,87.64550179,,Google Books,1975.03.72,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld094,https://books.google.com/books?id=eLIDAAAAMBAJ&lpg=PA1&pg=PA93#v=onepage&q&f=true,Angela Davis--An Autobiography,Paula Giddings,Johnson Publishing,1975.03,"An autobiography about Angela Davis, her life and how she achieved her goals. Her downfalls and moments of weakness as well because those are just as important to the nature of her work and her inspirations of life.","Life Story, Struggles, Storytelling","Birmingham, Alabama",33.5145277,-86.814447,,Google Books,1975.03.93,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld095,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA4#v=onepage&q&f=true,Woodie King Jr,Peter Bailey,Johnson Publishing,1975.04,An interview given to Woodie King Jr about his various works in the 60's. All the shows he produced and acted in were incredible pieces. He shared the stage with many other writers and actors and poets that used their works to create broadway shows and screenplays.,"Black Theater, Writers, Interviews",New York,40.71471709,74.00582979,,Google Books,1975.04.4,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld096,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA12#v=onepage&q&f=true,"Stage, Screen, And Black Hegemony: Black World Interviews Woodie King Jr",Hoyt W. Fuller,Johnson Publishing,1975.04,"An interview with Woodie King Jr about his thoughts on Black Theater and how it can progress in history. When thinking about how things can effectively change he suggested that art be taken away from New York. Not saying that it can not thrive in New York but all in all saying that for Black Art to be appreciated, it has to migrate out of New York.","Interviews, Black Art, Black Theater",New York,40.71471709,74.00582979,,Google Books,1975.04.12,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld097,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA18#v=onepage&q&f=true,New York,Peter A. Bailey,Johnson Publishing,1975.04,An article going over the plays and shows around the 1970's. The media was terrible in depicting the art of the Black Theater. Most were compatible others were still showing their racist remarks through the aritcles that were written.,"Black Theater, Arts, Discrimination",Virginia,37.40009906,-78.27100943,,Google Books,1975.04.18,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld098,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA26#v=onepage&q&f=true,Chicago,Dierdra Dyson,johnson Publishing,1975.04,An article about the Black Theater Alliance (BTA). They are an organization that offers workshops for people in theater and teaches their community how to strengthen their skills in theater. Also are a community based organization fighting to keep the black theater in chicago popular and present.,"Organizations, Black Arts, Black Theater","Chicago, Illinois",41.88849194,87.64550179,,Google Books,1975.04.26,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld099,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA34#v=onepage&q&f=true,"Washington, D.C",Jeanne-Marie A. Miller,johnson Publishing,1975.04,An article continuing the discussion of how Black Theater was struggling to stay popular. Many productions were being folded by the lack of shows and money they were receiving. Big names in the industry were starting to lose hope of their next work.,Black Theater,"Washington, DC",38.91169876,-77.03393875,,Google Books,1975.04.35,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld100,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA39#v=onepage&q&f=true,We The Poets/A Poem For Second Thinkers,Rabi'a K. Jabbar/Zack Gilbert,johnson Publishing,1975.04,A sequence of poems by two talented writers. One depicting opression and the other conveying how there is a need for revolution and a fight against justice. Spoke about growing old and never being apart of the fight.,"Poetry, Oppression","Chicago, Illinois",41.88849194,87.64550179,,Google Books,1975.04.39,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld101,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA40#v=onepage&q&f=true,Willis Richardson: Pioneer Playwright,Bernard L. Peterson Jr.,Johnson Publishing,1975.04,"An article reconciling with the art of Black Theater. How there are a tremendous amount of good writers and play makers in history but it took them a while to get to where they are. At first most plays were written for black people by white people, and for a while the community was longing for a writer who can commerse with their struggles and turn it into a beautiful work of art. ","Black Theater, Writing Conflicts, Black History",New York,40.71471709,74.00582979,,Google Books,1975.04.40,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Subject
blackworld102,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA51#v=onepage&q&f=true,Perspectives: Books Noted,Hilda Njoki McElroy,Johnson Publishing,1975.04,"In this article it discusses many plays written by black people that were beneficial to blacks but profitable to whties. Back in the 60's, black writers had the space to write their plays but only if it was appealing to a white audience. So most of the plays that were written had characteristics like racism, lynching, rape, and more harsh realities of the black community. This caught the eyes of the public more because their pain was a laughing matter to white people.","Misconceptions, Black Theater, Money, White Audiences, Stereotypes","Grayson County, Texas",33.58434752,-96.66157904,,Google Books,1975.04.51,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
blackworld103,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA53#v=onepage&q&f=true,Manifesto Of A Liberated Poet,Octave Lilly Jr.,Johnson Publishing,1975.04,,,Louisiana,30.73126969,-91.81168154,,Google Books,1975.04.53,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld104,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA54#v=onepage&q&f=true,The Black Image in Early American Drama,Larry Thompson,Johnson Publishing,1975.04,,,,,,,Google Books,1975.04.54,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld105,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA70#v=onepage&q&f=true,Dunbar As Playwright,Thomas Pawley,Johnson Publishing,1975.04,,,,,,,google Books,1975.04.70,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld106,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA91#v=onepage&q&f=true,Humor in Hue,Morrie,Johnson Publishing,1975.04,,,,,,,Google Books,1975.04.91,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld107,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA92#v=onepage&q&f=true,Senegal Revisited,Bruce Wright,Johnson Publishing,1975.04,,,,,,,Google Books,1975.04.93,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld108,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA94#v=onepage&q&f=true,For Alice Walker,Micheal S. Harper,Johnson Publishing,1975.04,,,,,,,Google Books,1975.04.94,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld109,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA95#v=onepage&q&f=true,On Record: The Art Ensemble of Chicago,Ron Welburn,Johnson Publishing,1975.04,,,,,,,Google Books,1975.04.95,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld110,https://books.google.com/books?id=dbIDAAAAMBAJ&lpg=PA1&pg=PA98#v=onepage&q&f=true,Raveen and Duke,Unknown,Johnson Publishing,1975.04,,,,,,,Google Books,1975.04.98,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld111,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA79#v=onepage&q=black%20world/%20negro%20digest&f=false,Towards Pan-Africanism ,Carrie Sembene,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld112,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA4#v=onepage&q=black%20world/%20negro%20digest&f=false,The Future of Pan- Africanism ,Ronald Walters,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld113,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA20#v=onepage&q=black%20world/%20negro%20digest&f=false,The Almicar Cabral Politico-Cultural Model,Harold W. Cruse,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld114,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA28#v=onepage&q=black%20world/%20negro%20digest&f=false,"The National Black Political Assembly: Its Position, Its Future",Ron Daniels,Johnson Publishing,1975. 10,An interview w...,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld115,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA42#v=onepage&q=black%20world/%20negro%20digest&f=false,Streched on The National Black Assembly ,Amiri Baracka,Johnson Publishing,1975. 10,An interview w...,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld116,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA44#v=onepage&q=black%20world/%20negro%20digest&f=false,Why I Resigned from the NBPA,Hannah Atkins,Johnson Publishing,1975. 10,An interview w...,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld117,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA47#v=onepage&q=black%20world/%20negro%20digest&f=false,The Congressional Black Caucas: The Members,Simeon Booker,Johnson Publishing,1975. 10,An assessment ,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld118,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA49#v=onepage&q=black%20world/%20negro%20digest&f=false,Black Elected Officials: Is There a Measurable Difference,Hoyt W. Fuller,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld119,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA51#v=onepage&q=black%20world/%20negro%20digest&f=false,Die Nigger Die,H. Rap Brown,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld120,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA53#v=onepage&q=black%20world/%20negro%20digest&f=false,Sun People,Michael D. Harris,Johnson Publishing,1975. 10,A poem reflecting..,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld121,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA54#v=onepage&q=black%20world/%20negro%20digest&f=false,America: an allegory,Everett Hoagland,Johnson Publishing,1975. 10,A poem ,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld122,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA58#v=onepage&q=black%20world/%20negro%20digest&f=false,The Congressional Black Caucas: The Organization,Hoyt W. Fuller,Johnson Publishing,1975. 10,An editorial on...,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld123,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA61#v=onepage&q=black%20world/%20negro%20digest&f=false,"New Politics for Black People: A Statement of Principles, Goals, Guidelines, Definitons, and Direction for the National Black Political Assembly",NEED,Johnson Publishing,1975. 10,In depth article,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld124,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA66#v=onepage&q=black%20world/%20negro%20digest&f=false,Mozambique: New Nations,Tennyson Makiwane,Johnson Publishing,1975. 10,Report on..,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld125,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA76#v=onepage&q=black%20world/%20negro%20digest&f=false,Cape Verde Islands and Sao Tome,NEED,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld126,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA77#v=onepage&q=black%20world/%20negro%20digest&f=false,Festival Report,Gen. Muritala Rufai Mohammed,Johnson Publishing,1975. 10,An update on local festival,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld127,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA88#v=onepage&q=black%20world/%20negro%20digest&f=false,"Jesse Jackson: The Man, The Myth, The Movement",James M. Stephens,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld128,https://books.google.com/books?id=bbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA90#v=onepage&q=black%20world/%20negro%20digest&f=false,The Ripening Fruit or Revolution,Hoyt W. Fuller,Johnson Publishing,1975. 10,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld129,https://books.google.com/books?id=NbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA4#v=onepage&q=black%20world/%20negro%20digest&f=false,Black Intellectuals and The American Social Change,Bill Strickland,Johnson Publishing,1975.11,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld130,https://books.google.com/books?id=NbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA12#v=onepage&q=black%20world/%20negro%20digest&f=false,Black Neighborhoods,Donald A. Warren,Johnson Publishing,1975.11,,,,,,,Google Books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld131,https://books.google.com/books?id=NbIDAAAAMBAJ&lpg=PA1&dq=black%20world%2F%20negro%20digest&pg=PA28#v=onepage&q=black%20world/%20negro%20digest&f=false,Black Man in the New China,John O. Killens,Johnson Publishing,1975. 11,,,,,,,Google books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
blackworld132,,,,Johnson Publishing,,,,,,,,Google books,,webpage;image,pdf,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,,,,,,,,,,,,,,pdf,,,,
,,    ,,,,,,,,,,,,,pdf,,,,
blackworld133,https://books.google.com/books?id=0TkDAAAAMBAJ&lpg=PA1&pg=PA29#v=onepage&q&f=false,The Death Walk Against Afrika,Don L. Lee,johnson publishing,1973. 10,This articles discusses the concept of Africans Americans devoiding themselves of african identity. He compares other races/ ethnicities such as greeks who are in general aligned with their traditional beliefs and customs.,"Black Novelists, Pan, Africanism","Little Rock, Arkansas",34.74321711,-92.28599688,,Google Books,1973.10.28,webpage;image,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,Author
